Application, Flat, Intensity, Optimal 
MODELS WITH BOTH ETA AND F VOLATILITY, , , 
Footprint, 0.0000, 0.0734, 0.0081 
Miles driven, 0.0000, 4.0618, 0.7415 
Elec, 0.0000, 0.4709, 0.3271 
Footprint with high sigmaF, 0.0000, 0.0805, 0.0065 
Elec with high demand elast, 0.0000, 0.4651, 0.2770 
MODELS WITH NONZERO CORR BETWEEN ETA AND F, , , 
Footprint, 0.0000, 0.0733, 0.0444 
Miles driven, 0.0000, 4.1137, -0.0250 
Elec, 0.0000, 0.4711, 0.3558 
MODELS WITH ONLY ETA VOLATILITY, , , 
Footprint, 0.0000, 0.0720, 0.0081 
Miles driven, 0.0000, 3.9631, 0.6839 
Elec, 0.0000, 0.4633, 0.3624 
